City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Waingapu,ID,2021-08-12 13:33:23,-9.6567,120.2641,77.4,83,35,8.57
119,Vila Franca Do Campo,PT,2021-08-12 13:33:24,37.7167,-25.4333,75.61,66,2,10.96
120,Chuy,UY,2021-08-12 13:33:24,-33.6971,-53.4616,50.49,70,0,2.48
121,Hobyo,SO,2021-08-12 13:33:24,5.3505,48.5268,78.49,75,14,27.98
122,Basco,PH,2021-08-12 13:33:24,20.4487,121.9702,81.77,81,100,21.21
123,Cristalina,BR,2021-08-12 13:33:25,-16.7686,-47.6136,78.28,23,47,8.5
124,Sham Churasi,IN,2021-08-12 13:33:25,31.4997,75.7494,89.2,56,3,6.85
125,Zapolyarnyy,RU,2021-08-12 13:33:25,69.4154,30.8136,63.68,87,100,7.47
126,Turukhansk,RU,2021-08-12 13:33:25,65.8167,87.9833,51.85,61,89,12.53
127,Vao,NC,2021-08-12 13:33:25,-22.6667,167.4833,66.99,68,100,20.83
128,Katsuura,JP,2021-08-12 13:33:26,35.1333,140.3,78.91,87,100,23.76
129,Busselton,AU,2021-08-12 13:33:26,-33.65,115.3333,48.04,76,57,1.99
130,Brae,GB,2021-08-12 13:33:26,60.3964,-1.353,58.91,68,100,8.61
131,Kodiak,US,2021-08-12 13:33:26,57.79,-152.4072,47.71,93,1,5.75
132,Roald,NO,2021-08-12 13:33:27,62.5833,6.1333,72.16,77,0,3.44
133,Ahipara,NZ,2021-08-12 13:33:27,-35.1667,173.1667,53.47,78,100,10.22
134,Cuencame,MX,2021-08-12 13:33:27,24.8711,-103.6964,70.66,44,90,6.85
135,Jamestown,US,2021-08-12 13:33:27,42.097,-79.2353,75.09,96,90,5.01
136,Sao Filipe,CV,2021-08-12 13:33:28,14.8961,-24.4956,76.21,76,11,13.6
137,Mumford,GH,2021-08-12 13:33:28,5.2618,-0.759,78.71,77,82,12.88
138,Yar-Sale,RU,2021-08-12 13:33:28,66.8333,70.8333,67.23,56,93,7.4
139,Bathsheba,BB,2021-08-12 13:33:28,13.2167,-59.5167,86.61,70,75,19.57
140,Kuala Perlis,MY,2021-08-12 13:33:29,6.4,100.1333,84.49,75,90,3.31
141,Great Yarmouth,GB,2021-08-12 13:33:29,52.6083,1.7305,75.45,65,99,14.63
142,Salalah,OM,2021-08-12 13:33:29,17.0151,54.0924,82.49,74,40,13.8
143,Georgetown,MY,2021-08-12 13:33:08,5.4112,100.3354,85.95,75,20,2.3
144,Rudbar,AF,2021-08-12 13:33:29,30.15,62.6,102.13,7,0,6.46
145,Ancud,CL,2021-08-12 13:33:23,-41.8697,-73.8203,38.73,71,0,2.62
146,Victoria,HK,2021-08-12 13:33:20,22.2855,114.1577,86.32,79,67,9.06
147,Formosa Do Rio Preto,BR,2021-08-12 13:33:30,-11.0483,-45.1931,89.37,25,36,8.37
148,Ilulissat,GL,2021-08-12 13:33:30,69.2167,-51.1,46.42,71,75,4.61
149,Puerto Ayora,EC,2021-08-12 13:33:31,-0.7393,-90.3518,69.55,87,76,7.0
150,Cherskiy,RU,2021-08-12 13:33:31,68.75,161.3,58.28,46,100,4.85
151,Hithadhoo,MV,2021-08-12 13:33:31,-0.6,73.0833,80.65,75,100,9.73
152,Khatanga,RU,2021-08-12 13:33:31,71.9667,102.5,43.32,88,100,9.71
153,Te Anau,NZ,2021-08-12 13:33:32,-45.4167,167.7167,38.46,93,29,0.87
154,East London,ZA,2021-08-12 13:33:32,-33.0153,27.9116,54.54,87,90,13.8
155,Tabas,IR,2021-08-12 13:33:32,33.5959,56.9244,103.21,6,0,14.76
156,Alofi,NU,2021-08-12 13:33:32,-19.0595,-169.9187,69.69,68,100,18.41
157,Mumbwa,ZM,2021-08-12 13:33:33,-14.9783,27.0619,80.94,15,0,7.07
158,Batagay-Alyta,RU,2021-08-12 13:33:33,67.8006,130.4114,58.82,54,77,12.5
159,Nikolskoye,RU,2021-08-12 13:33:33,59.7035,30.7861,69.69,79,99,5.28
160,Tzucacab,MX,2021-08-12 13:33:33,20.0667,-89.05,82.22,71,73,2.95
161,Namatanai,PG,2021-08-12 13:33:34,-3.6667,152.4333,78.82,85,100,6.87
162,Nago,JP,2021-08-12 13:33:34,26.5881,127.9761,81.45,86,99,13.53
163,Cuamba,MZ,2021-08-12 13:33:34,-14.8031,36.5372,83.19,23,0,2.35
164,Tiksi,RU,2021-08-12 13:33:34,71.6872,128.8694,50.85,79,71,9.22
165,Dikson,RU,2021-08-12 13:33:35,73.5069,80.5464,45.27,89,80,11.36
166,Oranjemund,NA,2021-08-12 13:33:35,-28.55,16.4333,57.51,75,37,21.21
167,Ussel,FR,2021-08-12 13:30:04,45.55,2.3167,77.7,58,52,1.43
168,Mwense,ZM,2021-08-12 13:33:35,-10.3845,28.698,90.25,12,0,2.82
169,Fort Nelson,CA,2021-08-12 13:30:36,58.8053,-122.7002,54.99,76,75,3.44
170,Vaini,TO,2021-08-12 13:30:31,-21.2,-175.2,66.36,88,40,13.8
171,Thompson,CA,2021-08-12 13:33:36,55.7435,-97.8558,44.76,93,90,13.8
172,Igarka,RU,2021-08-12 13:33:36,67.4667,86.5833,50.58,67,28,7.78
173,Apartado,CO,2021-08-12 13:33:37,7.883,-76.6259,76.93,93,99,2.93
174,Bend,US,2021-08-12 13:33:37,44.0582,-121.3153,76.46,48,1,1.01
175,At-Bashi,KG,2021-08-12 13:33:37,41.1702,75.8106,60.73,57,9,2.75
